agency,emp_id,ssn,emp_name,job_begin_date,job_end_date,effective_date,adjust_service_date,action_code,sub_action_code,position_nbr,salary,job_class,memo,separation_reason,part_or_full_time,employment_status,employment_status_date,rate_code,pay_frequency,employee_type,extra_field
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2001-09-01,2000-03-01,11,PE,GJB66,33.0000,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-02-01,2000-03-01,04,PF,GJB66,33.8300,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-07-01,2000-03-01,01,KA,GJB66,34.6800,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-12-01,2000-03-01,94,PA,GJB66,35.5500,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-05-01,2000-03-01,95,PJ,GJB66,36.4400,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-10-01,2000-03-01,12,LC,GJB66,37.3500,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-03-01,2000-03-01,01,LA,GJB66,38.2800,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-08-01,2000-03-01,91,KE,GJB66,39.2400,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2005-01-01,2000-03-01,88,PF,GJB66,40.2200,H1E1,Random Memo,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2005-06-01,2000-03-01,91,PJ,GJB66,41.2300,H1E1,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2001-09-01,2000-03-01,10,KA,GJB66,46.4900,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-02-01,2000-03-01,92,KA,GJB66,47.6500,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-07-01,2000-03-01,12,KA,GJB66,48.8400,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-12-01,2000-03-01,88,PB,GJB66,50.0600,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-05-01,2000-03-01,98,PL,GJB66,51.3100,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-10-01,2000-03-01,13,KD,GJB66,52.5900,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-03-01,2000-03-01,98,PA,GJB66,53.9000,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-08-01,2000-03-01,01,PB,GJB66,55.2500,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2005-01-01,2000-03-01,07,LA,GJB66,56.6300,H1E2,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2001-09-01,2000-03-01,06,LB,GJB66,63.8600,H1E3,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-02-01,2000-03-01,09,GA,GJB66,65.4600,H1E3,NULL,NULL,34.60,A,2001-09-01,H,TO,R
